Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
36.58688,-118.24014,0,0,0.0,2543,8343,4,104,Developed,30,10.36
36.58701326785442,-118.24030803928736,21,69,0.013117962473441684,2546,8353,8,154,Shrub,32,6.08
36.58716652752667,-118.24005173623667,50,163,0.030866892917604593,2549,8363,10,158,Shrub,28,18.72
36.58734763599264,-118.24019947466503,74,242,0.04584237271213174,2553,8376,16,128,Shrub,42,15.99
36.58757339189247,-118.24028814987683,100,329,0.062216293930384456,2556,8386,16,124,Shrub,25,8.87
36.587836484282334,-118.24024549476079,130,425,0.08056810708984043,2558,8392,16,96,Shrub,16,3.95
36.58807766312567,-118.24038883156283,159,523,0.0990527400611397,2561,8402,22,39,Shrub,16,9.4
36.58831246856478,-118.24025753143522,188,617,0.11685637843671766,2564,8412,30,144,Forest,22,13.24
36.58850692666473,-118.24002021232158,218,716,0.1356886011649638,2567,8422,34,144,Forest,25,11.7
36.58868797082148,-118.23976438905662,249,816,0.15462797754939633,2571,8435,35,144,Shrub,18,13.9
36.58886901509773,-118.23950856562277,279,916,0.17356734143237812,2575,8448,34,153,Shrub,18,11.56
36.58904700701096,-118.23924948948356,310,1016,0.19250463996728243,2578,8458,34,150,Shrub,22,10.76
36.589211311452196,-118.23897737709561,340,1116,0.21141399678972106,2581,8468,35,155,Shrub,20,3.92
36.589344584837704,-118.2386869963895,370,1214,0.22999027358016408,2583,8474,32,139,Shrub,19,6.95
36.58959755603128,-118.23864792600521,399,1307,0.2476224725900621,2585,8481,36,94,Shrub,21,9.05
36.58986710489697,-118.23861689160758,429,1406,0.26634682679963856,2587,8488,33,108,Shrub,22,35.71
36.58992386917833,-118.23862090465735,435,1427,0.2702795664196606,2590,8497,33,111,Shrub,22,10.93
36.589678615073936,-118.23876472076223,465,1526,0.28903024149157364,2593,8507,39,98,Shrub,21,6.72
36.589447031406735,-118.23890124958206,494,1620,0.3067530509009921,2595,8514,28,146,Shrub,20,6.07
36.58933781955176,-118.239213413524,524,1720,0.32566462547125263,2597,8520,27,147,Shrub,18,10.05
36.58924364214983,-118.23953361669058,555,1820,0.344603981595318,2601,8533,29,147,Shrub,19,12.39
36.58916149151993,-118.23985836160023,585,1919,0.3635140016763389,2604,8543,30,146,Shrub,22,14.18
36.58904261034962,-118.24016477930077,615,2019,0.38241474292909805,2608,8556,30,132,Shrub,22,13.62
36.58894975001783,-118.24047812477704,645,2117,0.40096525055492604,2612,8570,32,166,Shrub,22,9.58
36.58888202010345,-118.24080414072415,675,2216,0.4196682287497933,2615,8579,30,176,Forest,22,10.69
36.58901471253682,-118.2410980875703,706,2315,0.43839704887041664,2619,8593,32,202,Shrub,20,14.13
36.58915814293106,-118.2413883215949,736,2415,0.4573249014176377,2623,8606,32,196,Shrub,19,14.68
36.58928744256714,-118.24168301689573,766,2513,0.4759762513760472,2627,8619,32,165,Shrub,19,11.96
36.58929573969625,-118.24202248589931,796,2613,0.49483877620050654,2630,8629,37,183,Shrub,21,7.44
36.58929139862386,-118.24235601376145,826,2711,0.5133650355710471,2632,8635,37,163,Shrub,12,4.82
36.58913794614432,-118.24242626263329,844,2770,0.5246737772674714,2634,8642,35,59,Shrub,20,9.78
36.58886634305393,-118.24241047186402,875,2870,0.5434811828164471,2637,8652,34,86,Shrub,22,9.5
36.588593994334914,-118.2424456136342,905,2970,0.5624205403722328,2640,8661,36,88,Shrub,17,11.11
36.58832178805692,-118.24243693788308,935,3069,0.5812553742957796,2643,8671,35,88,Shrub,22,12.34
36.58809733913009,-118.24259165217477,964,3163,0.5989999567001363,2647,8684,26,133,Shrub,11,13.25
36.58803,-118.24291292327419,994,3260,0.6174412733638429,2651,8698,33,159,Shrub,11,17.23
36.58798977412103,-118.24324962632858,1024,3360,0.6363476246380594,2655,8711,36,150,Shrub,11,12.31
36.587887056931834,-118.24356345577269,1054,3459,0.6551702051962126,2659,8724,35,146,Shrub,10,12.81
36.58776485450318,-118.2438683952843,1085,3559,0.6740987802804563,2662,8734,37,140,Shrub,18,8.39
36.587598721335866,-118.24413945466253,1115,3659,0.6930381364289324,2666,8747,34,137,Shrub,18,9.55
36.58747643526126,-118.24444370680953,1146,3759,0.7119352064595487,2669,8757,34,145,Shrub,26,9.32
36.587334171386615,-118.24473401912454,1176,3859,0.7308249015943236,2671,8763,34,134,Shrub,18,8.84
36.58714821066122,-118.2449708946694,1206,3956,0.7492244291637077,2674,8773,27,112,Shrub,24,11.08
36.58697376490346,-118.2452293526448,1236,4055,0.767977157543927,2676,8780,28,140,Shrub,28,1.55
36.58674069327062,-118.24529883192474,1263,4142,0.7845542709709656,2677,8783,23,44,Shrub,28,2.75
36.58663230175517,-118.24499488982892,1292,4240,0.8030255599789343,2679,8789,34,145,Forest,45,8.5
36.58646074783094,-118.24476644147344,1320,4332,0.8203981083685153,2681,8796,17,55,Forest,28,8.12
36.586202085818755,-118.24465509920883,1351,4432,0.8393284952345176,2684,8806,23,52,Shrub,24,12.15
36.58597699345086,-118.24446543935068,1381,4531,0.8581269607123226,2688,8819,23,41,Shrub,16,14.76
36.58572197733274,-118.24434361224966,1411,4631,0.8770198456125685,2692,8832,28,50,Shrub,22,42.47
36.58571032117488,-118.24447146384753,1423,4668,0.8841665583313275,2696,8845,28,39,Shrub,22,19.73
36.58578767109444,-118.24463868770613,1440,4725,0.8948852761869376,2700,8858,26,52,Shrub,22,15.53
36.58554137325775,-118.24450686279083,1470,4823,0.9134285509039627,2705,8875,27,60,Shrub,19,15.65
36.58526911470238,-118.24449653117858,1500,4922,0.9322695769955746,2709,8888,26,87,Shrub,19,14.15
36.58502902127248,-118.24455443403596,1528,5012,0.9491855110377901,2714,8904,24,68,Shrub,17,17.51
36.585264582802274,-118.24470537484069,1557,5108,0.9675097102221525,2718,8917,26,83,Shrub,23,44.84
36.585311890062925,-118.24478544427673,1566,5138,0.9730310739412966,2722,8930,29,80,Shrub,23,14.77
36.58504368573845,-118.24485277827509,1596,5238,0.9919561317300302,2727,8947,27,79,Shrub,21,17.79
36.584815339305095,-118.24496095870657,1624,5327,1.008855260982132,2731,8960,30,97,Shrub,21,8.78
36.58508806081993,-118.24498897197333,1654,5427,1.0277836265081917,2734,8970,28,88,Shrub,23,22.18
36.58522750970586,-118.2450657087395,1671,5482,1.0383290692576672,2738,8983,32,92,Shrub,19,11.2
36.5849646587556,-118.245160787998,1702,5582,1.057262026793214,2741,8993,27,90,Shrub,19,10.23
36.584700151319296,-118.24524744325527,1732,5682,1.0761806380129149,2745,9006,24,94,Shrub,20,38.58
36.58474690411194,-118.24531768896092,1740,5709,1.0812482610139045,2748,9016,25,94,Shrub,20,19.59
36.58494451248196,-118.24537774375902,1763,5783,1.0953180556474587,2752,9029,33,104,Shrub,20,11.32
36.584688748556076,-118.24549781286099,1793,5883,1.1142246148736028,2755,9039,29,93,Shrub,16,49.42
36.58465918237911,-118.24556163259913,1800,5905,1.1183169709506298,2759,9052,29,94,Shrub,16,12.91
36.58493259143538,-118.24556844513877,1830,6005,1.1372326221606186,2763,9065,31,103,Shrub,20,23.21
36.584792427368335,-118.24568516494742,1849,6066,1.1488956090465423,2767,9078,32,102,Shrub,15,10.62
36.584547141288354,-118.24583527212607,1879,6166,1.1677999926627918,2770,9088,31,107,Shrub,15,7.7
36.58431620199316,-118.24601724750856,1910,6266,1.1867032841877168,2772,9094,32,118,Shrub,18,7.65
36.58411084787474,-118.24623827490458,1940,6365,1.205477692191268,2776,9108,31,114,Shrub,15,14.07
36.583895582258315,-118.24644162661254,1970,6464,1.224166852093046,2780,9121,24,119,Shrub,16,14.14
36.58371083748662,-118.24669310857024,2001,6564,1.2430985001716426,2784,9134,24,118,Shrub,16,18.53
36.58357350798417,-118.2469771070356,2030,6661,1.2615120374619724,2790,9154,25,129,Shrub,0,18.4
36.58339526015448,-118.24723044904066,2060,6760,1.2802209153010624,2795,9170,23,108,Shrub,20,22.04
36.58323209046418,-118.24749716075931,2090,6858,1.2988446277536807,2801,9190,27,128,Shrub,16,17.59
